leftout	unmasked - seg	unmasked - low	unmasked - med	unmasked - high	masked - seg	masked - low	masked - med	masked - high		
0	51	53	72		53	93				
1	51	53	72		53	94		93		
2	51	53	72		53	93		93		
3	52	52	72		53	94		93		
4	52	53	72		53	94				
5	52	53	72		53	94				
6	52	53	72		53	93		93		
7	52	52	72		53	94				
8	52	53	72		53	94		94		
9	51	52	72		53	93				
10	52	53	72		53	93		93		
11	52	51	72		53	94		93		
12	51	52	72		53	94				
13	51	53	72		53	94				
14	52	52	72		53	93		94		
15	51	52	72		53	93		93		
16	51	52	72		53	94				
17	51	53	72		53	94		93		
18	52	52	72		53	93				
19	51	53	72		53	93		93		
20	51	52	72		53	93		93		
21	51	52	72		53	94		93		
22	51	53	72		53	93		93		
23	51	52	72		53	93				
24	52	52	72		53	93				
25	52	52	72		53	93				
26	52	53	72		53	94				
27	51	53	72		53	93		93		
28	51	52	72		53	94		93		
29	52	52	72		53	93		93		
30	52	52	72		53	94				
31	51	53	72		53	94		94		
32	52	52	72		53	94		93		
33	52	53	72		53	94				
34	52	53	72		53	94				
35	51	53	72		53	94				
36	51	52	72		53	94				
37	51	53	72		53	94				
38	52	53	72		53	94		93		
39	51	52	72		53	93				
40	52	52	72		53	94				
41	52	52	72		53	93				
42	51	52	72		53	94		93		
43	51	53	72		53	93				
44	52	52	72		53	93		93		
45	51	53	72		53	93		94		
46	52	53	72		53	94		93		
47	52	53	72		53	93				
48	52	52	72		53	94		93		
49	52	53	72		53	94				
50	52	53	72		53	94		93		
51	51	52	72		53	93				
52	51	52	72		53	94		93		
53	51	53	72		53	94		93		
54	52	53	72		53	93				
55	51	53	72		53	93		93		
56	51	52	72		53	93				
57	52	52	72		53	94		93		
